City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Oqtosh,39.9214,65.9253,19.34,48,0,4.31,UZ,1715487148
1,Port Alfred,-33.5906,26.891,13.54,82,4,5.23,ZA,1715487149
2,Kerikeri,-35.2268,173.9474,17.17,61,50,1.34,NZ,1715487150
3,Mahina,-17.5065,-149.489,28.87,65,0,1.54,PF,1715487019
4,Tofol,5.3248,163.0078,29.88,79,75,6.17,FM,1715487152
5,Vorgashor,67.5833,63.95,-9.0,99,97,2.35,RU,1715487153
6,Al Hillah,32.4801,44.4353,30.76,24,43,7.44,IQ,1715487153
7,Edinburgh of the Seven Seas,-37.0676,-12.3116,15.72,90,100,6.49,SH,1715487154
8,Grand Gaube,-20.0064,57.6608,26.32,81,30,4.02,MU,1715487155
9,Forster,-32.1667,152.5167,20.21,78,30,3.42,AU,1715487156
10,Mana,5.6592,-53.7767,25.63,89,100,3.53,GF,1715487156
11,Bethel,41.3712,-73.414,10.05,78,100,1.54,US,1715487151
12,Bilibino,68.0546,166.4372,2.99,76,75,1.19,RU,1715487158
13,Grytviken,-54.2811,-36.5092,0.25,86,65,3.25,GS,1715487159
14,Adamstown,-25.066,-130.1015,20.55,65,0,4.09,PN,1715487085
15,Waitangi,-43.9535,-176.5597,11.01,88,98,3.58,NZ,1715487161
16,Cologne,50.9333,6.95,14.98,79,0,1.54,DE,1715487161
17,San Antonio de Palé,-1.4014,5.6325,26.53,87,94,2.99,GQ,1715487162
18,Kapuskasing,49.4169,-82.4331,6.93,71,47,0.48,CA,1715487163
19,Labrador City,52.9463,-66.9114,5.1,50,33,2.28,CA,1715487106
20,Port Lincoln,-34.7333,135.8667,18.09,50,0,0.73,AU,1715487165
21,Vilyuchinsk,52.9306,158.4028,13.15,60,70,1.44,RU,1715487139
22,Santa Vitória do Palmar,-33.5189,-53.3681,15.14,83,100,4.63,BR,1715487166
23,Atafu Village,-8.5421,-172.5159,29.91,67,11,5.1,TK,1715487167
24,Birżebbuġa,35.8258,14.5269,17.31,94,0,2.06,MT,1715487168
25,Sitka,57.0531,-135.33,7.94,66,75,4.12,US,1715487169
26,Port-aux-Français,-49.35,70.2167,7.84,96,100,13.63,TF,1715487169
27,Puerto Natales,-51.7236,-72.4875,1.58,98,100,2.1,CL,1715487090
28,Utrik,11.2278,169.8474,27.21,81,91,6.73,MH,1715487172
29,Dusa Marreb,5.535,46.3861,27.96,70,40,3.83,SO,1715487173
30,Villa de Reyes,21.8,-100.9333,19.89,58,71,0.85,MX,1715487173
31,Coahuayana de Hidalgo,18.7,-103.6583,22.41,88,35,1.04,MX,1715487174
32,Qaqortoq,60.7167,-46.0333,-1.13,94,43,1.47,GL,1715487175
33,Hajnówka,52.7433,23.5812,3.78,82,10,0.45,PL,1715487176
34,Ulanhot,46.0833,122.0833,19.41,25,3,5.03,CN,1715487176
35,Papatowai,-46.5619,169.4708,11.31,84,79,4.95,NZ,1715487177
36,Revda,56.801,59.9303,7.91,80,100,7.14,RU,1715487125
37,Rawicz,51.6095,16.8585,9.52,72,47,3.54,PL,1715487179
38,Tralee,52.2704,-9.7026,12.08,89,100,0.84,IE,1715487180
39,Notodden,59.5594,9.2585,13.33,86,74,0.63,NO,1715487026
40,Callao,-12.0667,-77.15,20.4,82,75,3.6,PE,1715487181
41,Rio Grande,-32.035,-52.0986,18.06,89,100,8.38,BR,1715486899
42,Cabedelo,-6.9811,-34.8339,25.37,80,24,2.58,BR,1715487183
43,Vadsø,70.0744,29.7487,1.49,86,20,3.09,NO,1715487183
44,Murray Bridge,-35.1167,139.2667,19.08,49,0,2.26,AU,1715487184
45,Saint-François,46.4154,3.9054,10.93,94,0,0.0,FR,1715487019
46,Talnakh,69.4865,88.3972,-3.22,95,100,4.69,RU,1715487088
47,Whitehorse,60.7161,-135.0538,7.95,31,97,7.6,CA,1715486947
48,Barbacena,-21.2258,-43.7736,16.29,77,0,0.87,BR,1715487187
49,Kenai,60.5544,-151.2583,8.05,79,100,6.69,US,1715487188
50,Bardai,11.65,7.2333,25.47,71,100,5.07,NG,1715487189
51,Salaga,8.5508,-0.5188,25.81,81,100,1.61,GH,1715487190
52,Maloye Ganyushkino,46.6,49.2667,17.54,61,100,0.9,KZ,1715487191
53,Port Elizabeth,-33.918,25.5701,11.84,74,9,1.79,ZA,1715487191
54,Khāsh,28.2211,61.2158,21.56,22,34,2.38,IR,1715487091
55,Palmer,42.1584,-72.3287,10.65,69,100,1.27,US,1715486897
56,Suva,-18.1416,178.4415,25.71,61,75,5.14,FJ,1715487194
57,Phan Rang-Thap Cham,11.5667,108.9833,35.22,46,19,5.72,VN,1715487194
58,Champigny-sur-Marne,48.8164,2.4937,15.21,79,0,2.24,FR,1715487042
59,Tarko-Sale,64.9225,77.785,1.33,96,100,7.1,RU,1715487196
60,Albany,42.6001,-73.9662,12.23,71,100,3.29,US,1715487180
